run_id,val_bpb,binary_string,norm_type_choice,attention_type_choice,mlp_type_choice,value_embeddings_choice,qk_norm_choice,rope_base_choice,norm_type_one_frequency,attention_type_one_frequency,mlp_type_one_frequency,value_embeddings_one_frequency,qk_norm_one_frequency,rope_base_one_frequency
1,1.10243036,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000
2,1.08955866,011111,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.00000000,0.50000000,1.00000000,0.50000000,1.00000000,0.50000000
3,1.09082564,001110,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.00000000,0.33333333,1.00000000,0.66666667,1.00000000,0.33333333
4,1.10967982,100011,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.25000000,0.25000000,0.75000000,0.50000000,1.00000000,0.50000000
5,1.09081292,001110,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.20000000,0.20000000,0.80000000,0.60000000,1.00000000,0.40000000
1,1.11176361,101100,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000
2,1.10248925,111110,LayerNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,1.00000000,0.50000000,1.00000000,1.00000000,0.50000000,0.00000000
3,1.10325775,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.66666667,0.33333333,1.00000000,0.66666667,0.66666667,0.00000000
4,1.09827201,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.50000000,0.50000000,0.75000000,0.50000000,0.50000000,0.00000000
5,1.09214111,100110,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.60000000,0.40000000,0.60000000,0.60000000,0.60000000,0.00000000
6,1.08262439,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.50000000,0.50000000,0.50000000,0.50000000,0.66666667,0.16666667
7,1.14149560,101000,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.57142857,0.42857143,0.57142857,0.42857143,0.57142857,0.14285714
8,1.10963805,110011,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.62500000,0.50000000,0.50000000,0.37500000,0.62500000,0.25000000
9,1.10984357,100010,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.66666667,0.44444444,0.44444444,0.33333333,0.66666667,0.22222222
10,1.10443641,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.60000000,0.50000000,0.50000000,0.40000000,0.60000000,0.20000000
11,1.09098926,011110,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.54545455,0.54545455,0.54545455,0.45454545,0.63636364,0.18181818
12,1.07718799,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.50000000,0.58333333,0.50000000,0.50000000,0.58333333,0.25000000
13,1.11110717,101101,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.53846154,0.53846154,0.53846154,0.53846154,0.53846154,0.30769231
14,1.09055621,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.57142857,0.57142857,0.50000000,0.57142857,0.57142857,0.35714286
15,1.08803221,010010,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.53333333,0.60000000,0.46666667,0.53333333,0.60000000,0.33333333
16,1.07121469,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.50000000,0.56250000,0.43750000,0.56250000,0.62500000,0.37500000
17,1.11326159,101011,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.52941176,0.52941176,0.47058824,0.52941176,0.64705882,0.41176471
18,1.07516150,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.50000000,0.50000000,0.44444444,0.55555556,0.61111111,0.44444444
19,1.10253685,101110,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.52631579,0.47368421,0.47368421,0.57894737,0.63157895,0.42105263
20,1.07822820,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.50000000,0.50000000,0.45000000,0.60000000,0.60000000,0.45000000
21,1.07716376,010110,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.47619048,0.52380952,0.42857143,0.61904762,0.61904762,0.42857143
22,1.08451114,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.45454545,0.50000000,0.40909091,0.63636364,0.59090909,0.45454545
23,1.13985860,101001,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k,0.47826087,0.47826087,0.43478261,0.60869565,0.56521739,0.47826087
24,1.08912963,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.50000000,0.50000000,0.41666667,0.62500000,0.58333333,0.50000000
25,1.07950397,000100,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.48000000,0.48000000,0.40000000,0.64000000,0.56000000,0.48000000
26,1.14150554,101000,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.50000000,0.46153846,0.42307692,0.61538462,0.53846154,0.46153846
27,1.10426523,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.48148148,0.48148148,0.40740741,0.59259259,0.51851852,0.44444444
28,1.10252207,011011,RMSNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.46428571,0.50000000,0.42857143,0.57142857,0.53571429,0.46428571
29,1.08071602,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.44827586,0.51724138,0.41379310,0.58620690,0.51724138,0.48275862
30,1.10548670,011101,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.43333333,0.53333333,0.43333333,0.60000000,0.50000000,0.50000000
31,1.11522881,111011,LayerNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.45161290,0.54838710,0.45161290,0.58064516,0.51612903,0.51612903
32,1.09771557,010000,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.43750000,0.56250000,0.43750000,0.56250000,0.50000000,0.50000000
33,1.10202536,110100,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.45454545,0.57575758,0.42424242,0.57575758,0.48484848,0.48484848
34,1.08815258,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.44117647,0.58823529,0.41176471,0.55882353,0.50000000,0.50000000
35,1.07301585,000110,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.42857143,0.57142857,0.40000000,0.57142857,0.51428571,0.48571429
36,1.09010260,001111,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.41666667,0.55555556,0.41666667,0.58333333,0.52777778,0.50000000
37,1.08978313,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.43243243,0.56756757,0.40540541,0.59459459,0.54054054,0.51351351
38,1.08421297,010101,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.42105263,0.57894737,0.39473684,0.60526316,0.52631579,0.52631579
39,1.09255815,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.43589744,0.58974359,0.38461538,0.61538462,0.53846154,0.51282051
40,1.11052368,100011,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.45000000,0.57500000,0.37500000,0.60000000,0.55000000,0.52500000
41,1.06992156,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.43902439,0.56097561,0.36585366,0.60975610,0.56097561,0.53658537
42,1.11269678,101100,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.45238095,0.54761905,0.38095238,0.61904762,0.54761905,0.52380952
43,1.10503290,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.44186047,0.55813953,0.39534884,0.62790698,0.53488372,0.51162791
44,1.07527225,010111,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.43181818,0.56818182,0.38636364,0.63636364,0.54545455,0.52272727
45,1.10499026,001101,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.42222222,0.55555556,0.40000000,0.64444444,0.53333333,0.53333333
46,1.08691824,000010,RMSNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.41304348,0.54347826,0.39130435,0.63043478,0.54347826,0.52173913
47,1.10486090,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.40425532,0.55319149,0.40425532,0.63829787,0.53191489,0.51063830
48,1.10372347,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.39583333,0.54166667,0.41666667,0.62500000,0.54166667,0.50000000
49,1.07773485,010100,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.38775510,0.55102041,0.40816327,0.63265306,0.53061224,0.48979592
50,1.10489790,100100,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.40000000,0.54000000,0.40000000,0.64000000,0.52000000,0.48000000
51,1.12826516,011000,RMSNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.39215686,0.54901961,0.41176471,0.62745098,0.50980392,0.47058824
52,1.09152031,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.40384615,0.55769231,0.40384615,0.63461538,0.51923077,0.46153846
53,1.07697607,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.39622642,0.54716981,0.39622642,0.64150943,0.50943396,0.47169811
54,1.06985283,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.38888889,0.53703704,0.38888889,0.64814815,0.51851852,0.48148148
55,1.08535552,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.38181818,0.54545455,0.38181818,0.63636364,0.52727273,0.49090909
56,1.09071220,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.39285714,0.55357143,0.37500000,0.64285714,0.53571429,0.50000000
57,1.09780638,000001,RMSNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k,0.38596491,0.54385965,0.36842105,0.63157895,0.52631579,0.50877193
58,1.11044278,110010,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.39655172,0.55172414,0.36206897,0.62068966,0.53448276,0.50000000
59,1.10245022,101111,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.40677966,0.54237288,0.37288136,0.62711864,0.54237288,0.50847458
60,1.07670010,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.40000000,0.53333333,0.36666667,0.63333333,0.53333333,0.51666667
61,1.06792149,010111,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.39344262,0.54098361,0.36065574,0.63934426,0.54098361,0.52459016
62,1.10292084,100100,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.40322581,0.53225806,0.35483871,0.64516129,0.53225806,0.51612903
63,1.06965964,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.39682540,0.52380952,0.34920635,0.65079365,0.53968254,0.52380952
64,1.07094025,010111,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.39062500,0.53125000,0.34375000,0.65625000,0.54687500,0.53125000
65,1.13024465,100000,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.40000000,0.52307692,0.33846154,0.64615385,0.53846154,0.52307692
66,1.10492798,001101,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.39393939,0.51515152,0.34848485,0.65151515,0.53030303,0.53030303
67,1.08990247,011111,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.38805970,0.52238806,0.35820896,0.65671642,0.53731343,0.53731343
68,1.08989282,011111,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.38235294,0.52941176,0.36764706,0.66176471,0.54411765,0.54411765
69,1.09090457,011110,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.37681159,0.53623188,0.37681159,0.66666667,0.55072464,0.53623188
70,1.10265860,011011,RMSNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.37142857,0.54285714,0.38571429,0.65714286,0.55714286,0.54285714
71,1.10323092,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.36619718,0.53521127,0.39436620,0.64788732,0.56338028,0.53521127
72,1.12808294,001001,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k,0.36111111,0.52777778,0.40277778,0.63888889,0.55555556,0.54166667
73,1.14149117,101000,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.36986301,0.52054795,0.41095890,0.63013699,0.54794521,0.53424658
74,1.10953732,110010,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.37837838,0.52702703,0.40540541,0.62162162,0.55405405,0.52702703
75,1.10253428,111110,LayerNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.38666667,0.53333333,0.41333333,0.62666667,0.56000000,0.52000000
76,1.10887476,100010,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.39473684,0.52631579,0.40789474,0.61842105,0.56578947,0.51315789
77,1.09333944,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.40259740,0.53246753,0.40259740,0.62337662,0.57142857,0.50649351
78,1.08973233,001111,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.39743590,0.52564103,0.41025641,0.62820513,0.57692308,0.51282051
79,1.10334966,000000,RMSNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k,0.39240506,0.51898734,0.40506329,0.62025316,0.56962025,0.50632911
80,1.10200048,101111,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.40000000,0.51250000,0.41250000,0.62500000,0.57500000,0.51250000
81,1.08968366,001111,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.39506173,0.50617284,0.41975309,0.62962963,0.58024691,0.51851852
82,1.08310275,000100,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.39024390,0.50000000,0.41463415,0.63414634,0.57317073,0.51219512
83,1.08968137,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.39759036,0.50602410,0.40963855,0.63855422,0.57831325,0.51807229
84,1.10037872,010001,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k,0.39285714,0.51190476,0.40476190,0.63095238,0.57142857,0.52380952
85,1.10930033,110011,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.40000000,0.51764706,0.40000000,0.62352941,0.57647059,0.52941176
86,1.08419334,010100,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.39534884,0.52325581,0.39534884,0.62790698,0.56976744,0.52325581
87,1.10171263,110101,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.40229885,0.52873563,0.39080460,0.63218391,0.56321839,0.52873563
88,1.08707894,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.39772727,0.53409091,0.38636364,0.62500000,0.56818182,0.53409091
89,1.10465610,001100,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.39325843,0.52808989,0.39325843,0.62921348,0.56179775,0.52808989
90,1.10339402,100100,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.40000000,0.52222222,0.38888889,0.63333333,0.55555556,0.52222222
91,1.08475706,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.39560440,0.52747253,0.38461538,0.62637363,0.56043956,0.52747253
92,1.07412106,000110,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.39130435,0.52173913,0.38043478,0.63043478,0.56521739,0.52173913
93,1.07625563,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.38709677,0.51612903,0.37634409,0.63440860,0.55913978,0.52688172
94,1.10484281,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.38297872,0.52127660,0.38297872,0.63829787,0.55319149,0.52127660
95,1.09242268,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.38947368,0.52631579,0.37894737,0.64210526,0.55789474,0.51578947
96,1.09109107,001110,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.38541667,0.52083333,0.38541667,0.64583333,0.56250000,0.51041667
97,1.07178026,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.38144330,0.51546392,0.38144330,0.64948454,0.56701031,0.51546392
98,1.07319296,010110,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k,0.37755102,0.52040816,0.37755102,0.65306122,0.57142857,0.51020408
99,1.11129228,101101,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.38383838,0.51515152,0.38383838,0.65656566,0.56565657,0.51515152
